[ 2][t 6][1603055113.844820261][Session.cpp:145][#6][!SessionProxy:4:main]	Generate new session_id 10797080417743818035 for auth key 864231450724921975 for main DC4
[ 2][t 6][1603055114.379088879][Td.cpp:4234][#6][!Td]	Close Td in state 2
[ 2][t 6][1603055114.379132748][Td.cpp:4088][#6][!Td]	Have no request actors
[ 2][t 6][1603055114.379282713][Td.cpp:4009][#6][!Td]	ON_ACTORS_CLOSED
[ 2][t 6][1603055114.380124092][Td.cpp:4066][#6][!Td]	ON_CLOSED
[ 2][t 6][1603055114.380143642][Td.cpp:4076][#6][!Td]	Stop Td
[ 2][t 8][1603055155.213584185][TdDb.cpp:315][#7][!Td]	Got PRAGMA user_version = 11
[ 2][t 8][1603055155.214039803][AuthDataShared.cpp:109][#7][!Td]	DcId{4} [auth_key_id:864231450724921975][state:OK][created_at:1603055051.000000]
[ 2][t 8][1603055155.214355469][SessionMultiProxy.cpp:121][#7][!SessionMultiProxy:4:main]	[session_count:1]
[ 2][t 8][1603055155.214905739][Session.cpp:145][#7][!SessionProxy:4:main]	Generate new session_id 16890550298928907275 for auth key 864231450724921975 for main DC4
[ 2][t 8][1603055155.754583836][Td.cpp:4234][#7][!Td]	Close Td in state 2
[ 2][t 8][1603055155.754637480][Td.cpp:4088][#7][!Td]	Have no request actors
[ 2][t 8][1603055155.754791737][Td.cpp:4009][#7][!Td]	ON_ACTORS_CLOSED
[ 2][t 8][1603055155.796656132][Td.cpp:4066][#7][!Td]	ON_CLOSED
[ 2][t 8][1603055155.796698093][Td.cpp:4076][#7][!Td]	Stop Td
[ 2][t 8][1603055193.342493296][TdDb.cpp:315][#8][!Td]	Got PRAGMA user_version = 11
[ 2][t 8][1603055193.343011856][AuthDataShared.cpp:109][#8][!Td]	DcId{4} [auth_key_id:864231450724921975][state:OK][created_at:1603055051.000000]
[ 2][t 8][1603055193.343496561][SessionMultiProxy.cpp:121][#8][!SessionMultiProxy:4:main]	[session_count:1]
[ 2][t 8][1603055193.343607903][Session.cpp:145][#8][!SessionProxy:4:main]	Generate new session_id 14504316965244321236 for auth key 864231450724921975 for main DC4
[ 2][t 8][1603055193.878684998][Td.cpp:4234][#8][!Td]	Close Td in state 2
[ 2][t 8][1603055193.878749371][Td.cpp:4088][#8][!Td]	Have no request actors
[ 2][t 8][1603055193.878906250][Td.cpp:4009][#8][!Td]	ON_ACTORS_CLOSED
[ 2][t 8][1603055193.982758522][Td.cpp:4066][#8][!Td]	ON_CLOSED
[ 2][t 8][1603055193.982813358][Td.cpp:4076][#8][!Td]	Stop Td
[ 2][t 7][1603055338.142160892][TdDb.cpp:315][#9][!Td]	Got PRAGMA user_version = 11
[ 2][t 7][1603055338.142730713][AuthDataShared.cpp:109][#9][!Td]	DcId{4} [auth_key_id:864231450724921975][state:OK][created_at:1603055051.000000]
